"종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"060310","3S",2580,210,8.86,30,86,NA,NA,947,2.72,0,0
"095570","AJ네트웍스",4460,140,3.24,201,22.19,593,7.51,8076,0.55,270,6.05
"006840","AK홀딩스",18640,-330,-1.74,NA,NA,NA,NA,41948,0.44,200,1.07
"054620","APS",8140,-90,-1.09,505,16.12,NA,NA,10864,0.75,0,0
"265520","AP시스템",17950,-50,-0.28,5463,3.29,NA,NA,17980,1,270,1.5
"211270","AP위성",15500,20,0.13,287,54.01,NA,NA,5997,2.58,70,0.45
"027410","BGF",3625,5,0.14,247,14.68,650,5.57,16528,0.22,110,3.03
"282330","BGF리테일",149200,-400,-0.27,11203,13.32,13573,10.99,55724,2.68,4100,2.75
"126600","BGF에코머티리얼즈",4820,-65,-1.33,1053,4.58,NA,NA,6585,0.73,100,2.07
"138930","BNK금융지주",7210,10,0.14,2404,3,2553,2.82,30468,0.24,625,8.67
"001460","BYC",402500,0,0,42272,9.52,NA,NA,825735,0.49,3000,0.75
"001465","BYC우",140000,0,0,NA,NA,NA,NA,NA,NA,3050,2.18
"013720","CBI",1816,23,1.28,NA,NA,NA,NA,1580,1.15,0,0
"083790","CG인바이츠",3090,-70,-2.22,NA,NA,NA,NA,2732,1.13,0,0
"001040","CJ",89400,-1400,-1.54,6023,14.84,8388,10.66,191537,0.47,2500,2.8
"079160","CJ CGV",7670,250,3.37,NA,NA,NA,NA,5510,1.39,0,0
"035760","CJ ENM",58800,-400,-0.68,NA,NA,378,155.53,171357,0.34,0,0
"311690","CJ 바이오사이언스",16140,-300,-1.82,NA,NA,NA,NA,7423,2.17,0,0
"00104K","CJ4우(전환)",70000,-600,-0.85,NA,NA,NA,NA,NA,NA,2550,3.64
"000120","CJ대한통운",84400,-1200,-1.4,8190,10.31,10327,8.17,179031,0.47,500,0.59
"011150","CJ씨푸드",3045,-75,-2.4,205,14.85,NA,NA,2107,1.45,0,0
"011155","CJ씨푸드1우",19400,-360,-1.82,NA,NA,NA,NA,NA,NA,0,0
"001045","CJ우",48700,-200,-0.41,NA,NA,NA,NA,NA,NA,2550,5.24
"097950","CJ제일제당",310000,-1000,-0.32,37188,8.34,31848,9.73,459670,0.67,5500,1.77
"097955","CJ제일제당 우",134800,-1300,-0.96,NA,NA,NA,NA,NA,NA,5550,4.12
"051500","CJ프레시웨이",23450,-200,-0.85,4136,5.67,5695,4.12,25929,0.9,350,1.49
"058820","CMG제약",2540,-70,-2.68,NA,NA,NA,NA,1332,1.91,0,0
"023460","CNH",2000,0,0,NA,NA,NA,NA,3404,0.59,20,1
"056730","CNT85",1289,-5,-0.39,39,33.05,NA,NA,569,2.27,0,0
"000480","CR홀딩스",7800,-80,-1.02,1279,6.1,NA,NA,21609,0.36,450,5.77
"065770","CS",1626,42,2.65,NA,NA,NA,NA,936,1.74,0,0
"083660","CSA 코스믹",1314,-4,-0.3,NA,NA,NA,NA,79,16.63,0,0
"000590","CS홀딩스",59600,200,0.34,12700,4.69,NA,NA,242997,0.25,500,0.84
"012030","DB",1727,-11,-0.63,30,57.57,NA,NA,1492,1.16,0,0
"404950","DB금융스팩10호",2120,0,0,NA,NA,NA,NA,NA,NA,0,0
"456440","DB금융스팩11호",2065,-5,-0.24,NA,NA,NA,NA,NA,NA,0,0
"367360","DB금융스팩9호",5100,-250,-4.67,NA,NA,NA,NA,NA,NA,0,0
"016610","DB금융투자",4020,15,0.37,NA,NA,NA,NA,22203,0.18,170,4.23
"005830","DB손해보험",92600,1700,1.87,16373,5.66,28778,3.22,89508,1.03,4600,4.97
"000990","DB하이텍",50800,-700,-1.36,12858,3.95,4740,10.72,37784,1.34,1300,2.56
"139130","DGB금융지주",8200,-80,-0.97,2266,3.62,2916,2.81,31812,0.26,650,7.93
"060900","DGP",2615,-45,-1.69,NA,NA,NA,NA,1740,1.5,0,0
"025440","DH오토웨어",2395,-5,-0.21,NA,NA,NA,NA,2195,1.09,0,0
"001530","DI동일",27250,1950,7.71,2803,9.72,NA,NA,31182,0.87,250,0.92
"000210","DL",42850,0,0,2679,15.99,5267,8.14,194062,0.22,1000,2.33
"001880","DL건설",12300,0,0,2445,5.03,2923,4.21,45294,0.27,250,2.03
"000215","DL우",21350,0,0,NA,NA,NA,NA,NA,NA,1050,4.92
"375500","DL이앤씨",32300,-50,-0.15,10130,3.19,8641,3.74,114397,0.28,1000,3.1
"37550L","DL이앤씨2우(전환)",22300,-50,-0.22,NA,NA,NA,NA,NA,NA,1000,4.48
"37550K","DL이앤씨우",17830,-20,-0.11,NA,NA,NA,NA,NA,NA,1050,5.89
"068790","DMS",5750,-120,-2.04,1053,5.46,NA,NA,12373,0.46,125,2.17
"007340","DN오토모티브",84600,600,0.71,20987,4.03,NA,NA,101507,0.83,2500,2.96
"004840","DRB동일",6010,-170,-2.75,80,75.13,NA,NA,18971,0.32,40,0.67
"241520","DSC인베스트먼트",3070,-10,-0.32,573,5.36,NA,NA,3364,0.91,0,0
"065150","DSEN",280,4,1.45,NA,NA,NA,NA,262,1.07,0,0
"155660","DSR",4570,-90,-1.93,1502,3.04,NA,NA,12480,0.37,60,1.31
"069730","DSR제강",4545,-55,-1.2,2009,2.26,NA,NA,12715,0.36,60,1.32
"180400","DXVX",6660,-70,-1.04,NA,NA,NA,NA,1184,5.63,0,0
"017940","E1",62900,1700,2.78,24536,2.56,26706,2.36,249560,0.25,3600,5.72
"245620","EDGC",1074,-21,-1.92,NA,NA,NA,NA,350,3.07,0,0
"037370","EG",13450,-450,-3.24,NA,NA,NA,NA,7337,1.83,0,0
"050120","ES큐브",3410,-60,-1.73,1918,1.78,NA,NA,8242,0.41,0,0
"383220","F&F",117400,-1600,-1.34,11571,10.15,14067,8.35,24159,4.86,1600,1.36
"007700","F&F홀딩스",17730,560,3.26,3384,5.24,NA,NA,52493,0.34,350,1.97
"214270","FSN",2770,-45,-1.6,NA,NA,NA,NA,3566,0.78,0,0
