"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1095","383930","디티앤씨알오","5,710","100","+1.78%","500","725","12,695",3.8,"47,031","11.07","16.34"
"1096","238490","힘스","6,400","210","-3.18%","500","724","11,312",1.53,"29,366","-29.63","-12.73"
"1097","038060","루멘스","1,502","22","-1.44%","500","722","48,103",8,"75,737","-88.35","18.99"
"1098","442900","미래에셋드림스팩1호","9,390","40","-0.42%","500","721","7,680",4.18,"22,779","-16.77","N/A"
"1099","204020","그리티","3,575","80","-2.19%","500","720","20,147",7.56,"129,572","16.18","2.99"
"1100","313760","윌링스","12,650","100","-0.78%","500","719","5,688",1.64,"140,480","-3.73","-42.28"
"1101","330730","스톤브릿지벤처스","3,960","15","+0.38%","500","718","18,136",0.64,"12,266","17.07","9.54"
"1102","377330","이지트로닉스","8,860","120","-1.34%","500","718","8,099",0.57,"10,134","-61.96","-5.72"
"1103","096690","에이루트","445","5","-1.11%","500","716","160,984",1.19,"434,651","29.67","4.27"
"1104","119850","지엔씨에너지","4,355","160","-3.54%","500","716","16,449",1.2,"365,758","2.4","26.32"
"1105","024940","PN풍년","7,150","260","+3.77%","500","715","10,000",1.6,"484,458","43.33","3.9"
"1106","059270","해성티피씨","7,100","90","-1.25%","500","711","10,021",0.42,"69,130","-165.12","-2.52"
"1107","219420","링크제니시스","6,200","80","-1.27%","100","711","11,470",1.44,"36,222","23.22","4.73"
"1108","419120","산돌","9,150","330","-3.48%","500","709","7,752",0.9,"30,627","6.23","25.32"
"1109","291650","압타머사이언스","4,175","40","+0.97%","500","709","16,980",0.91,"58,486","-6.94","-23.45"
"1110","067920","이글루","6,430","30","+0.47%","500","707","10,996",4.42,"71,882","10.11","10.83"
"1111","099390","브레인즈컴퍼니","8,600","80","-0.92%","500","706","8,208",1.82,"10,712","15.38","12.06"
"1112","036090","위지트","685","7","-1.01%","500","705","102,976",1.73,"140,319","6.17","10.39"
"1113","056700","신화인터텍","2,420","40","+1.68%","500","705","29,135",1.5,"61,909","-3.69","-8.72"
"1114","357880","비트나인","6,740","100","-1.46%","500","704","10,444",1.39,"57,612","-7.19","-1.32"
"1115","088130","동아엘텍","6,600","80","-1.20%","500","704","10,663",2.15,"11,648","-8.52","0.86"
"1116","060850","영림원소프트랩","8,650","50","-0.57%","500","703","8,131",12.69,"7,167","12.66","17.61"
"1117","016250","SGC이테크건설","20,950","250","-1.18%","5,000","701","3,347",3.61,"2,200","10.2","22.73"
"1118","019660","글로본","2,015","10","+0.50%","500","701","34,791",0,"76,542","-9.88","-39.04"
"1119","007370","진양제약","5,840","20","-0.34%","500","701","12,000",1.08,"4,753","4.61","17.23"
"1120","044060","조광ILI","732","0","0.00%","500","701","95,732",3.54,"0","-3.3","-17.17"
"1121","075970","동국알앤에스","3,805","10","-0.26%","1,000","700","18,400",1.22,"78,554","165.43","4.73"
"1122","277070","린드먼아시아","5,100","30","-0.58%","500","698","13,692",0.56,"31,486","23.18","6.49"
"1123","060540","에스에이티","2,670","5","-0.19%","500","698","26,133",3.77,"141,867","56.81","9.53"
"1124","332290","누보","2,100","75","-3.45%","100","697","33,210",0.88,"604,298","-14.29","-18.64"
"1125","290520","신도기연","4,375","140","-3.10%","500","697","15,929",1.67,"45,415","-35.28","-0.65"
"1126","312610","에이에프더블류","3,440","55","-1.57%","500","697","20,257",0.38,"33,632","-19.11","-4.98"
"1127","217730","강스템바이오텍","1,832","12","+0.66%","500","695","37,938",1.62,"122,125","-3.5","-34.46"
"1128","019540","일지테크","5,090","70","-1.36%","500","688","13,514",3.12,"102,758","5.81","-9.43"
"1129","037030","파워넷","3,515","75","-2.09%","1,000","686","19,522",5.35,"99,975","20.09","1.89"
"1130","016600","큐캐피탈","384","30","+8.47%","500","684","178,247",1.83,"10,307,741","-32","-5.17"
"1131","244460","올리패스","2,275","50","-2.15%","500","684","30,083",1.01,"110,850","-3.68","-117.13"
"1132","276730","제주맥주","1,179","3","-0.25%","500","684","58,029",0.69,"119,493","-2.42","-59.05"
"1133","291810","핀텔","6,030","120","+2.03%","500","684","11,344",0.93,"119,067","-25.02","-29.59"
"1134","025440","DH오토웨어","2,400","70","-2.83%","2,500","684","28,500",32.25,"12,957","-39.34","-8.86"
"1135","019990","에너토크","7,000","50","+0.72%","500","683","9,756",19.16,"250,980","-98.59","1.7"
"1136","050960","수산아이앤티","10,060","170","+1.72%","500","679","6,751",0.86,"42,387","17.81","3.1"
"1137","318010","팜스빌","8,560","110","-1.27%","500","679","7,929",0.3,"7,127","16.24","6.67"
"1138","052900","KX하이텍","1,230","14","-1.13%","500","678","55,108",3.06,"70,017","6.99","13.59"
"1139","007770","한일화학","19,280","20","-0.10%","500","677","3,510",2.55,"7,473","-12.42","3.76"
"1140","100660","서암기계공업","5,370","110","-2.01%","500","677","12,600",2.11,"249,528","28.12","3.44"
