"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"186","035250","강원랜드","KOSPI","서비스업",15830,-40,-0.25,3386678115000
"187","011420","갤럭시아에스엠","KOSPI","서비스업",1828,-10,-0.54,50360749232
"188","002100","경농","KOSPI","화학",9980,-10,-0.1,194835298500
"189","009450","경동나비엔","KOSPI","전기전자",45450,-200,-0.44,662142506400
"190","267290","경동도시가스","KOSPI","전기가스업",20450,150,0.74,120561052700
"191","012320","경동인베스트","KOSPI","기타금융",80100,1300,1.65,189438342300
"192","000050","경방","KOSPI","유통업",8820,-160,-1.78,241802681400
"193","214390","경보제약","KOSPI","의약품",7260,-90,-1.22,173563803600
"194","012610","경인양행","KOSPI","화학",4120,-35,-0.84,171459423800
"195","009140","경인전자","KOSPI","전기전자",23850,-700,-2.85,37463508450
"196","013580","계룡건설","KOSPI","건설업",14810,-30,-0.2,132266732670
"197","012200","계양전기","KOSPI","기계",1995,-15,-0.75,54309543855
"198","012205","계양전기우","KOSPI","기계",4180,-100,-2.34,4886750220
"199","002140","고려산업","KOSPI","음식료품",3430,-10,-0.29,85542227750
"200","010130","고려아연","KOSPI","철강금속",546000,0,0,10845284268000
"201","002240","고려제강","KOSPI","철강금속",21500,1000,4.88,5.375e+11
"202","009290","광동제약","KOSPI","의약품",6210,-110,-1.74,325533484710
"203","017040","광명전기","KOSPI","전기전자",2515,-15,-0.59,108994101725
"204","017900","광전자","KOSPI","전기전자",2220,-10,-0.45,128635153860
"205","037710","광주신세계","KOSPI","유통업",30550,50,0.16,243092154500
"206","030610","교보증권","KOSPI","증권",5250,-50,-0.94,598305545250
"207","339770","교촌에프앤비","KOSPI","유통업",8000,0,0,199860320000
"208","007690","국도화학","KOSPI","화학",52300,-1400,-2.61,471255216800
"209","005320","국동","KOSPI","유통업",812,-11,-1.34,46585678300
"210","001140","국보","KOSPI","운수창고업",4295,15,0.35,53214057855
"211","002720","국제약품","KOSPI","의약품",3925,-55,-1.38,83052340600
"212","083420","그린케미칼","KOSPI","화학",7370,50,0.68,1.7688e+11
"213","014530","극동유화","KOSPI","화학",4240,0,0,147846340800
"214","014280","금강공업","KOSPI","철강금속",6220,-110,-1.74,182428600540
"215","014285","금강공업우","KOSPI","철강금속",10110,110,1.1,5963636250
"216","008870","금비","KOSPI","비금속광물",92700,1400,1.53,9.27e+10
"217","001570","금양","KOSPI","화학",130800,800,0.62,7592944839600
"218","002990","금호건설","KOSPI","건설업",5320,0,0,196593125400
"219","002995","금호건설우","KOSPI","건설업",15000,-270,-1.77,4383990000
"220","011780","금호석유","KOSPI","화학",134100,-4000,-2.9,3931049239200
"221","011785","금호석유우","KOSPI","화학",64800,-600,-0.92,195921892800
"222","214330","금호에이치티","KOSPI","운수장비",739,-12,-1.6,144951084056
"223","001210","금호전기","KOSPI","전기전자",834,-17,-2,30601524150
"224","073240","금호타이어","KOSPI","화학",4620,25,0.54,1327142525940
"225","092440","기신정기","KOSPI","기계",3205,-5,-0.16,9.3586e+10
"226","000270","기아","KOSPI","운수장비",81400,2000,2.52,32726398124200
"227","024110","기업은행","KOSPI","은행",11500,70,0.61,9170397493500
"228","013700","까뮤이앤씨","KOSPI","건설업",1625,-8,-0.49,73372455000
"229","004540","깨끗한나라","KOSPI","종이목재",2120,0,0,78950269160
"230","004545","깨끗한나라우","KOSPI","종이목재",13640,-340,-2.43,4994422400
"231","001260","남광토건","KOSPI","건설업",8840,-120,-1.34,86919936480
"232","008350","남선알미늄","KOSPI","철강금속",2425,55,2.32,313016793250
"233","008355","남선알미우","KOSPI","철강금속",22750,0,0,7004497500
"234","004270","남성","KOSPI","유통업",2065,35,1.72,74778110400
"235","003920","남양유업","KOSPI","음식료품",466000,-2500,-0.53,3.3552e+11
"236","003925","남양유업우","KOSPI","음식료품",251000,3000,1.21,5.02e+10
"237","025860","남해화학","KOSPI","화학",7690,-10,-0.13,382030302670
"238","005720","넥센","KOSPI","화학",4240,5,0.12,227026462480
"239","005725","넥센우","KOSPI","화학",2935,10,0.34,10567761000
"240","002350","넥센타이어","KOSPI","화학",8010,-50,-0.62,782319694770
"241","002355","넥센타이어1우B","KOSPI","화학",2955,-25,-0.84,19207500000
"242","092790","넥스틸","KOSPI","철강금속",9410,-50,-0.53,244678820000
"243","251270","넷마블","KOSPI","서비스업",45250,-600,-1.31,3889395965500
"244","090350","노루페인트","KOSPI","화학",9080,-40,-0.44,1.816e+11
"245","090355","노루페인트우","KOSPI","화학",23000,-2850,-11.03,10651898000
"246","000320","노루홀딩스","KOSPI","기타금융",12180,-20,-0.16,161886219180
"247","000325","노루홀딩스우","KOSPI","기타금융",41000,-3500,-7.87,9985919000
"248","006280","녹십자","KOSPI","의약품",114200,-800,-0.7,1334602639600
"249","005250","녹십자홀딩스","KOSPI","서비스업",15000,-100,-0.66,705423150000
"250","005257","녹십자홀딩스2우","KOSPI","서비스업",30350,-1050,-3.34,25675796500
"251","004370","농심","KOSPI","음식료품",444000,-500,-0.11,2700693048000
"252","072710","농심홀딩스","KOSPI","기타금융",65900,-100,-0.15,305630361000
"253","058730","다스코","KOSPI","기계",4835,-115,-2.32,93784209735
"254","030210","다올투자증권","KOSPI","증권",4405,70,1.61,268313421930
"255","023590","다우기술","KOSPI","서비스업",17900,-130,-0.72,803112444300
"256","145210","다이나믹디자인","KOSPI","기계",4725,130,2.83,80752040775
"257","019680","대교","KOSPI","서비스업",2465,-25,-1,208792525250
"258","019685","대교우B","KOSPI","서비스업",1683,-4,-0.24,32695624170
"259","006370","대구백화점","KOSPI","유통업",11550,-60,-0.52,124989607050
"260","008060","대덕","KOSPI","기타금융",6420,-30,-0.47,217574763000
"261","00806K","대덕1우","KOSPI","기타금융",8980,-120,-1.32,10886965860
"262","353200","대덕전자","KOSPI","전기전자",27850,-150,-0.54,1376261361250
"263","35320K","대덕전자1우","KOSPI","전기전자",10320,-160,-1.53,21625756080
"264","000490","대동","KOSPI","기계",16900,700,4.32,418496964600
"265","008110","대동전자","KOSPI","전기전자",7650,-40,-0.52,80251919550
"266","005750","대림B&Co","KOSPI","비금속광물",3880,-50,-1.27,64688291200
"267","006570","대림통상","KOSPI","기계",3390,-75,-2.16,51612750000
"268","001680","대상","KOSPI","음식료품",18870,280,1.51,653808231750
"269","001685","대상우","KOSPI","음식료품",13990,70,0.5,19169419770
"270","084690","대상홀딩스","KOSPI","기타금융",6880,10,0.15,249142261440
"271","084695","대상홀딩스우","KOSPI","기타금융",8060,10,0.12,7362664920
"272","128820","대성산업","KOSPI","유통업",3740,-10,-0.27,169180687720
"273","117580","대성에너지","KOSPI","전기가스업",7670,-100,-1.29,2.10925e+11
"274","016710","대성홀딩스","KOSPI","서비스업",12090,-130,-1.06,194521559310
"275","003540","대신증권","KOSPI","증권",14700,160,1.1,746368980000
"276","003547","대신증권2우B","KOSPI","증권",13050,60,0.46,1.305e+11
"277","003545","대신증권우","KOSPI","증권",13540,50,0.37,3.5204e+11
"278","009190","대양금속","KOSPI","철강금속",3285,-55,-1.65,123835022775
"279","014160","대영포장","KOSPI","종이목재",1204,-10,-0.82,130507036996
"280","047040","대우건설","KOSPI","건설업",4555,5,0.11,1893161116090
"281","009320","대우부품","KOSPI","운수장비",1545,19,1.25,76168144650
"282","003090","대웅","KOSPI","의약품",14500,-20,-0.14,843058710000
